District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,Student Open Date,School ID,State
Darien School District,Tokeneke Elementary School,Public Schools,350611,7 Old Farm Rd.,Darien,6820,203-655-9666,01-07-1984,631,CT
Putnam School District,Putnam Middle School,Public Schools,1165111,35 Wicker St.,Putnam,6260,860-963-6920,01-07-1984,632,CT
West Hartford School District,Wolcott School,Public Schools,1551511,71 Wolcott Rd.,West Hartford,6110,860-561-2300,01-07-1984,633,CT
Connecticut Technical Education and Career System,Vinal Technical High School,CT Technical Education and Career Schools,9001816,60 Daniels St.,Middletown,6457,860-344-7100,01-07-2000,634,CT
Hamden School District,Hamden High School,Public Schools,626111,2040 Dixwell Ave.,Hamden,6514,203-407-2040,01-07-1984,635,CT
New Haven School District,Clinton Avenue School,Public Schools,930611,293 Clinton Ave.,New Haven,6513,475-220-3300,01-07-1984,636,CT
Bridgeport School District,Warren Harding High School,Public Schools,156311,379 Bond St,Bridgeport,6610,203-275-2751,01-07-1984,637,CT
Oxford School District,Oxford Middle School,Public Schools,1085111,40 Great Oak Rd.,Oxford,6478,203-888-5418,01-07-1997,638,CT
Southington School District,South End Elementary School,Public Schools,1310711,10 Maxwell-Noble Drive,Plantsville,6479,860-628-3320,01-07-1984,639,CT
Wethersfield School District,Wethersfield School District,Public School Districts,1590011,127 Hartford Avenue,Wethersfield,6109,860-571-8110,01-07-1996,640,CT
Newtown School District,Reed Intermediate School,Public Schools,970511,3 Trades Lane,Newtown,6470,203-270-4880,01-07-2002,641,CT
Department of Mental Health and Addiction Services,Department of Mental Health and Addiction Services,State Agencies,3370015,"410 Capitol Avenue, Box 341431",Hartford,6134,860-262-7175,01-07-2000,642,CT
Deep River School District,Deep River Elementary School,Public Schools,360111,12 River St.,Deep River,6417,860-526-5319,01-07-1984,643,CT
Waterbury School District,F. J. Kingsbury School,Public Schools,1511411,220 Columbia Blvd.,Waterbury,6710,203-574-8172,01-07-1984,644,CT
Killingly School District,Killingly High School,Public Schools,696111,226 Putman Pike,Dayville,6241,860-779-6620,01-07-1984,645,CT
Danbury School District,Stadley Rough School,Public Schools,341611,25 Karen Rd.,Danbury,6811,203-797-4773,01-07-1984,646,CT
Stratford School District,Bunnell High School,Public Schools,1386211,1 Bulldog Boulevard,Stratford,6614,203-385-4250,01-07-1984,647,CT
Canterbury School District,Canterbury Elementary School,Public Schools,220211,67 Kitt Rd.,Canterbury,6331,860-546-6744,01-07-1990,648,CT
Plainville School District,Linden Street School,Public Schools,1100211,69 Linden St.,Plainville,6062,860-793-3270,01-07-1984,649,CT
East Hartford School District,Sunset Ridge Middle School,Public Schools,432411,450 Forbes St.,East Hartford,6118,860-622-5800,01-07-1999,650,CT
Fairfield School District,Tomlinson Middle School,Public Schools,515111,200 Unquowa Rd.,Fairfield,6824,203-255-8336,01-07-1984,651,CT
Stafford School District,Stafford School District,Public School Districts,1340011,16 Levinthal Run,Stafford Springs,6076,860-684-2208,01-07-1996,652,CT
Capitol Region Education Council,Academy of Computer Science and Engineering,Regional Education Service Center Schools,2415214,1617 King Street,Enfield,6082,860-253-0274,28-08-2008,653,CT
Windsor School District,Sage Park Middle School,Public Schools,1645311,25 Sage Park Rd.,Windsor,6095,860-687-2030,01-07-1984,654,CT
Litchfield School District,Litchfield School District,Public School Districts,740011,35 Wamogo Road,Litchfield,6759,860-567-7500,01-07-1996,655,CT
Bridgeport School District,A.B. Skane Center,Public Schools,154411,2977 North Madison Ave.,Bridgeport,6606,203-576-7181,01-07-1995,656,CT
Regional School District 08,RHAM Middle School,Regional Schools,2085112,25 Rham Rd.,Hebron,6248,860-228-9423,01-07-2002,657,CT
Sharon School District,Sharon School District,Public School Districts,1250011,80 Hilltop Road,Sharon,6069,860-364-5153,01-07-1996,658,CT
Hartford School District,Sanchez School,Public Schools,643011,176 Babcock Street,Hartford,6106,860-695-4940,01-07-1992,659,CT
Wilton School District,Wilton School District,Public School Districts,1610011,"395 Danbury Road, Box 277",Wilton,6897,203-762-3381,01-07-1996,660,CT
Winchester School District,Mary P. Hinsdale School,Public Schools,1620211,15 Hinsdale Ave.,Winsted,6098,860-379-5423,01-07-2022,661,CT
East Haven School District,Joseph Melillo Middle School,Public Schools,445111,67 Hudson St.,East Haven,6512,203-468-3227,01-07-1984,662,CT
Hartford School District,Kennelly School,Public Schools,641011,180 White Street,Hartford,6114,860-695-3860,01-07-1984,663,CT
Meriden School District,Nathan Hale School,Public Schools,800711,277 Atkins St. Ext.,Meriden,6450,203-237-7486,01-07-1984,664,CT
Bridgeport School District,Interdistrict Discovery Magnet School,Public Schools,153711,4510 Park Avenue,Bridgeport,6606,203-275-1801,26-08-2010,665,CT
New Haven School District,Metropolitan Business Academy,Public Schools,936011,115 Water Street,New Haven,6511,475-220-7700,01-07-2003,666,CT
Ashford School District,Ashford School District,Public School Districts,30011,440 Westford Rd.,Ashford,6278,860-429-1927,01-07-1996,667,CT
Interdistrict School for Arts and Comm District,Interdistrict School For Arts And Communication,Public Charter Schools,2655113,190 Governor Winthrop Blvd.,New London,6320,860-447-1003,27-08-1997,668,CT
Ellington School District,Ellington School District,Public School Districts,480011,47 Main Street,Ellington,6029,860-896-2300,01-07-1996,669,CT
Sharon School District,Sharon Center School,Public Schools,1250111,80 Hilltop Road,Sharon,6069,860-364-5153,01-07-1984,670,CT
Greenwich School District,Greenwich High School,Public Schools,576111,10 Hillside Rd.,Greenwich,6830,203-625-8000,01-07-1984,671,CT
New Britain School District,Gaffney Elementary School,Public Schools,890511,322 Slater Rd.,New Britain,6053,860-225-6247,01-07-1984,672,CT
Wallingford School District,Moses Y. Beach School,Public Schools,1480111,340 North Main Street,Wallingford,6492,203-294-3940,01-07-1984,673,CT
Bolton School District,Bolton School District,Public School Districts,120011,72 Brandy Street,Bolton,6043,860-643-1569,01-07-1996,674,CT
Norwich School District,Norwich School District,Public School Districts,1040011,90 Town Street,Norwich,6360,860-823-4200,01-07-1996,675,CT
Regional School District 06,Wamogo Regional High School,Regional Schools,2066112,98 Wamogo Rd.,Litchfield,6759,860-567-7410,01-07-2002,676,CT
Manchester School District,Keeney School,Public Schools,770611,65 North School St.,Manchester,6042,860-647-3354,01-07-1984,677,CT
Bristol School District,Northeast Middle School,Public Schools,175211,530 Stevens St.,Bristol,6010,860-584-7839,01-07-1997,678,CT
North Haven School District,North Haven School District,Public School Districts,1010011,5 Linsley Street,North Haven,6473,203-239-2581,01-07-1996,679,CT
Greenwich School District,Greenwich School District,Public School Districts,570011,"290 Grenwich Ave, HAVEMEYER BUILDING",Greenwich,6830,203-625-7400,01-07-1996,680,CT
EdAdvance,EdAdvance,Regional Education Service Center School Districts,2420014,"355 Goshen Road, Box 909",Litchfield,6759,860-567-0863,01-07-2000,681,CT
Fairfield School District,North Stratfield School,Public Schools,511611,190 Putting Green Rd.,Fairfield,6825,203-255-8322,01-07-1984,682,CT
East Hampton School District,East Hampton Middle School,Public Schools,425111,19 Childs Rd.,East Hampton,6424,860-365-4060,01-07-1984,683,CT
Newtown School District,Newtown School District,Public School Districts,970011,3 Primrose Street,Newtown,6470,203-426-7620,01-07-1996,684,CT
Trumbull School District,Frenchtown Elementary School,Public Schools,1441011,30 Frenchtown Rd.,Trumbull,6611,203-452-4227,01-07-2003,685,CT
Wallingford School District,Lyman Hall High School,Public Schools,1486111,70 Pond Hill Road,Wallingford,6492,203-294-5350,01-07-1984,686,CT
Milford School District,Mathewson School,Public Schools,841711,466 West River St.,Milford,6460,203-783-3527,01-07-1984,687,CT
Sterling School District,Sterling School District,Public School Districts,1360011,251 Sterling Road,Sterling,6377,860-564-4219,04-09-2007,688,CT
Hartford School District,Weaver High School,Public Schools,646311,415 Granby St.,Hartford,6112,860-695-1640,01-07-2019,689,CT
Montville School District,Dr. Charles E. Murphy School,Public Schools,860711,500 Chesterfield Rd.,Oakdale,6370,860-848-9241,01-07-1984,690,CT
Regional School District 15,Rochambeau Middle School,Regional Schools,2155112,100 Peter Rd.,Southbury,6488,203-264-2711,01-07-2002,691,CT
Norwalk School District,Center for Global Studies,Public Schools,1030511,300 Highland Avenue,Norwalk,6854,203-852-9488,30-08-2016,692,CT
Somers School District,Somers Elementary School,Public Schools,1290411,4 Vision Boulevard,Somers,6071,860-749-2270,01-07-1995,693,CT
Hamden School District,Spring Glen School,Public Schools,621011,1908 Whitney Ave.,Hamden,6517,203-407-2045,01-07-1984,694,CT
Trumbull School District,Booth Hill School,Public Schools,1440111,545 Booth Hill Rd.,Trumbull,6611,203-452-4377,01-07-1984,695,CT
Hartford School District,Parkville Community School,Public Schools,641511,47 New Park Avenue,Hartford,6106,860-695-4721,01-07-1984,696,CT
New Haven School District,Mauro-Sheridan Magnet School,Public Schools,931911,191 Fountain St.,New Haven,6515,475-220-2800,02-09-2009,697,CT
New Hartford School District,New Hartford Elementary School,Public Schools,920211,40 Wickett St.,New Hartford,6057,860-379-0713,01-07-1984,698,CT
Stonington School District,Stonington Middle School,Public Schools,1375211,204 Mistuxet Ave.,Mystic,6355,860-536-9613,01-07-1984,699,CT
Brookfield School District,Center Elementary School,Public Schools,180311,8 Obtuse Hill Road,Brookfield,6804,203-775-7650,01-07-1984,700,CT
North Branford School District,North Branford School District,Public School Districts,990011,1332 Middletown Avenue,Northford,6472,203-484-1440,01-07-1996,701,CT
Griswold School District,Griswold High School,Public Schools,586211,267 Slater Ave.,Griswold,6351,860-376-7640,01-07-1992,702,CT
New Milford School District,Hill And Plain School,Public Schools,960511,60 Old Town Park Rd.,New Milford,6776,860-354-5430,01-07-1984,703,CT
Colchester School District,Bacon Academy,Public Schools,286111,611 Norwich Ave.,Colchester,6415,860-537-2378,01-07-1984,704,CT
Stamford School District,Toquam Magnet School,Public Schools,1351911,123 Ridgewood Ave.,Stamford,6907,203-977-4556,01-07-1990,705,CT
East Hartford School District,Anna E. Norris School,Public Schools,430911,40 Remington Rd.,East Hartford,6108,860-622-5740,01-07-1984,706,CT
Highville Charter School District,Highville Charter School,Public Charter Schools,2860113,1 Science Park,New Haven,6511,203-287-0528,01-07-2007,707,CT
Salem School District,Salem Elementary School,Public Schools,1210111,200 Hartford Rd.,Salem,6420,860-859-0267,01-07-1984,708,CT
North Haven School District,North Haven Middle School,Public Schools,1015211,55 Bailey Rd.,North Haven,6473,203-239-1683,01-07-1984,709,CT
Bristol School District,Stafford School,Public Schools,171211,212 Louisiana Ave.,Bristol,6010,860-584-7824,01-07-1998,710,CT
Milford School District,Jonathan Law High School,Public Schools,846211,20 Lansdale Ave.,Milford,6460,203-783-3574,01-07-1984,711,CT
Tolland School District,Tolland Middle School,Public Schools,1425111,1 Falcon Way,Tolland,6084,860-870-6860,01-07-1984,712,CT
Preston School District,Preston Veterans' Memorial School,Public Schools,1140411,325 Shetucket Tpke.,Preston,6365,860-887-3113,01-07-2002,713,CT
New Britain School District,House of Arts Letters and Science (HALS) Academy,Public Schools,895411,40 Goodwin St,New Britain,6051,860-826-1866,01-07-2006,714,CT
Bridgeport School District,Park City Magnet School,Public Schools,151711,1526 Chopsey Hill Rd.,Bridgeport,6606,203-576-7547,01-07-1984,715,CT
Easton School District,Helen Keller Middle School,Public Schools,465111,360 Sport Hill Rd.,Easton,6612,203-268-8651,01-07-1984,716,CT
Enfield School District,Enfield School District,Public School Districts,490011,1010 Enfield Street,Enfield,6082,860-253-6500,01-07-1996,717,CT
Regional School District 01,Regional School District 01,Regional School Districts,2010012,246 Warren Turnpike Road,Falls Village,6031,860-824-0855,01-07-2002,718,CT
Waterbury School District,H. S. Chase School,Public Schools,1510711,40 Woodtick Rd.,Waterbury,6705,203-574-8188,01-07-1984,719,CT
Side By Side Charter School District,Side By Side Charter School District,Public Charter School Districts,2700013,10 Chestnut St.,Norwalk,6854,203-857-0306,01-07-1999,720,CT
West Haven School District,West Haven High School,Public Schools,1566111,One McDonough Plaza,West Haven,6516,203-937-4360,01-07-1984,721,CT
Norwalk School District,Norwalk School District,Public School Districts,1030011,"125 East Avenue, Box 6001",Norwalk,6852,203-854-4000,01-07-1996,722,CT
Waterbury School District,North End Middle School,Public Schools,1515311,534 Bucks Hill Rd.,Waterbury,6704,203-574-8097,01-07-1984,723,CT
Southington School District,Walter A. Derynoski Elementary School,Public Schools,1311511,240 Main St.,Southington,6489,860-628-3286,01-07-1984,724,CT
West Hartford School District,Morley School,Public Schools,1550911,77 Bretton Rd.,West Hartford,6119,860-233-8535,01-07-1984,725,CT
Wolcott School District,Tyrrell Middle School,Public Schools,1665111,500 Todd Rd.,Wolcott,6716,203-879-8151,01-07-1997,726,CT
Orange School District,Peck Place School,Public Schools,1070511,500 Peck Ln.,Orange,6477,203-891-8034,01-07-1984,727,CT
Cromwell School District,Woodside Intermediate School,Public Schools,330311,30 Woodside Rd.,Cromwell,6416,860-632-3564,01-07-2006,728,CT
East Granby School District,R. Dudley Seymour School,Public Schools,400211,185 Hartford Ave.,East Granby,6026,860-653-7214,01-07-1984,729,CT
Brooklyn School District,Brooklyn Elementary School,Public Schools,190111,119 Gorman Rd.,Brooklyn,6234,860-774-7577,01-07-1984,730,CT
Groton School District,Catherine Kolnaski Magnet School,Public Schools,592011,500 Poquonnock Rd.,Groton,6340,860-449-5608,07-01-2008,731,CT
Middletown School District,Bielefield School,Public Schools,830211,70 Maynard St.,Middletown,6457,860-347-4124,01-07-1984,732,CT
Watertown School District,Swift Middle School,Public Schools,1535111,250 Colonial St.,Oakville,6779,860-945-4830,01-07-1984,733,CT
Regional School District 12,Booth Free School,Regional Schools,2120212,14 South St.,Roxbury,6783,860-354-9391,01-07-2002,734,CT
Capitol Region Education Council,Academy of Aerospace and Engineering Elementary,Regional Education Service Center Schools,2410714,7 Gardner Way,Rocky Hill,6067,860-529-1652,28-08-2013,735,CT
Waterbury School District,Reed School,Public Schools,1513411,33 Griggs Street,Waterbury,6704,203-574-8180,27-08-2012,736,CT
Plainville School District,Plainville High School,Public Schools,1106111,47 Robert Holcomb Way,Plainville,6062,860-793-3220,01-07-1984,737,CT
New Britain School District,New Britain High School,Public Schools,896111,110 Mill St.,New Britain,6051,860-225-6300,01-07-1984,738,CT
Wethersfield School District,Highcrest School,Public Schools,1591111,95 Highcrest Rd.,Wethersfield,6109,860-571-8380,01-07-1984,739,CT
Department of Mental Health and Addiction Services,Capitol Region Mental Health Center,State Agency Facilities,3370615,500 Vine St.,Hartford,6112,860-262-7175,01-07-2007,740,CT
Chester School District,Chester School District,Public School Districts,260011,1 Winthrop Road,Deep River,6417,860-526-2417,01-07-1996,741,CT
Hebron School District,Gilead Hill School,Public Schools,670211,580 Gilead St.,Hebron,6248,860-228-9458,01-07-1984,742,CT
West Haven School District,Alma E. Pagels School,Public Schools,1560811,26 Benham Hill Rd.,West Haven,6516,203-931-6840,01-07-1984,743,CT
Office of Early Childhood (OEC),Office of Early Childhood (OEC),State Agencies,3490015,460 Capitol Avenue,Hartford,6106,860-418-6148,01-07-2000,744,CT
Southington School District,Urbin T. Kelley School,Public Schools,1311411,501 Ridgewood Rd.,Southington,6489,860-628-3310,01-07-1984,745,CT
Norwalk School District,Tracey Magnet School,Public Schools,1031411,20 Camp Street,Norwalk,6851,203-899-2960,01-07-1984,746,CT
Regional School District 07,Regional School District 07,Regional School Districts,2070012,100 Battistoni Drive,Winsted,6098,860-379-1084,01-07-2002,747,CT
Portland School District,Gildersleeve School,Public Schools,1130411,565 Main St.,Portland,6480,860-342-0411,01-07-1984,748,CT
Regional School District 13,Middlefield Memorial School,Regional Schools,2130412,124 Hubbard St.,Middlefield,6455,860-349-7235,01-07-2002,749,CT
Fairfield School District,Fairfield Warde High School,Public Schools,516211,755 Melville Ave.,Fairfield,6825,203-255-8449,01-07-1984,750,CT
Union School District,Union School,Public Schools,1450111,18 Kinney Hollow Rd.,Union,6076,860-684-3146,01-07-1984,751,CT
South Windsor School District,Timothy Edwards School,Public Schools,1325111,100 Arnold Way,South Windsor,6074,860-648-5030,01-07-1984,752,CT
Wallingford School District,Rock Hill School,Public Schools,1480411,910 Old Rock Hill Road,Wallingford,6492,203-294-6260,01-07-1984,753,CT
Windsor Locks School District,South Elementary School,Public Schools,1650411,87 South St.,Windsor Locks,6096,860-292-5021,01-07-1984,754,CT
East Haven School District,East Haven School District,Public School Districts,440011,35 Wheelbarrow Lane,East Haven,6513,203-468-3261,01-07-1996,755,CT
Norfolk School District,Botelle Elementary School,Public Schools,980111,128 Greenwoods Rd. East,Norfolk,6058,860-542-5286,01-07-1984,756,CT
Hartford School District,Great Path Academy at MCC,Public Schools,647911,"60 Bidwell Street, MS #20",Manchester,6045,860-512-3700,01-07-2012,757,CT
Wethersfield School District,Wethersfield High School,Public Schools,1596111,411 Wolcott Hill Rd.,Wethersfield,6109,860-571-8200,01-07-1984,758,CT
Greenwich School District,Glenville School,Public Schools,570411,33 Riversville Rd.,Greenwich,6831,203-531-9287,01-07-1984,759,CT
Clinton School District,The Morgan School,Public Schools,276111,71 Killingworth Tpke.,Clinton,6413,860-664-6504,01-07-1984,760,CT
Capitol Region Education Council,CREC Preschool at Progress Drive,Regional Education Service Center Schools,2412114,123 Progress Drive,Wethersfield,6109,860-240-6615,03-07-2023,761,CT
New Haven School District,Bishop Woods Architecture and Design Magnet School,Public Schools,934311,1481 Quinnipiac Avenue,New Haven,6513,475-220-7300,01-07-1984,762,CT
Windham School District,North Windham School,Public Schools,1630311,112 Jordan Ln.,North Windham,6256,860-465-2400,01-07-1987,763,CT
Granby School District,Wells Road Intermediate School,Public Schools,560311,134 Wells Rd.,Granby,6035,860-844-3048,01-07-1984,764,CT
East Haven School District,Grove J. Tuttle School,Public Schools,441011,108 Prospect St.,East Haven,6512,203-468-3315,01-07-1984,765,CT
Ansonia School District,Mead School,Public Schools,20311,75 Ford St.,Ansonia,6401,203-736-5090,01-07-1984,766,CT
Fairfield School District,Mill Hill School,Public Schools,510711,635 Mill Hill Terrace,Southport,6890,203-255-8320,01-07-1990,767,CT
Torrington School District,Forbes School,Public Schools,1430211,500 Migeon Ave.,Torrington,6790,860-489-2500,01-07-1986,768,CT
Naugatuck School District,City Hill Middle School,Public Schools,885111,441 City Hill St.,Naugatuck,6770,203-720-5246,01-07-1984,769,CT
Manchester School District,Elisabeth M. Bennet Academy,Public Schools,771711,1151 Main St.,Manchester,6040,860-647-3571,27-08-2008,770,CT
Manchester School District,Bowers School,Public Schools,770111,141 Princeton Street,Manchester,6042,860-647-3313,01-07-1984,771,CT
East Windsor School District,East Windsor School District,Public School Districts,470011,70 South Main Street,East Windsor,6088,860-623-3346,01-07-1996,772,CT
Bridgeport School District,James J. Curiale School,Public Schools,154211,300 Laurel Ave.,Bridgeport,6604,203-576-8437,01-07-1984,773,CT
Norwich School District,Wequonnoc Magnet School,Public Schools,1041511,155 Providence St.,Taftville,6380,860-823-4210,01-07-1984,774,CT
Waterford School District,Waterford School District,Public School Districts,1520011,15 Rope Ferry Road,Waterford,6385,860-444-5801,01-07-1996,775,CT
Danbury School District,Great Plain School,Public Schools,341111,10 Stadley Rough Rd.,Danbury,6811,203-797-4749,01-07-1984,776,CT
Bloomfield School District,Wintonbury Early Childhood Magnet School,Public Schools,110811,44 Brown Street,Bloomfield,6002,860-769-5510,01-07-2009,777,CT
Norwich School District,Kelly STEAM Magnet Middle School,Public Schools,1045111,25 Mahan Dr.,Norwich,6360,860-823-4211,01-07-1984,778,CT
Milford School District,Meadowside School,Public Schools,840711,80 Seeman's Ln.,Milford,6460,203-783-3555,01-07-1984,779,CT
Regional School District 15,Gainfield Elementary School,Regional Schools,2150412,307 Old Field Rd.,Southbury,6488,203-264-5312,01-07-2002,780,CT
Regional School District 05,Regional School District 05,Regional School Districts,2050012,25 Newton Road,Woodbridge,6525,203-397-4811,01-07-2002,781,CT
Monroe School District,Masuk High School,Public Schools,856111,1014 Monroe Tpke.,Monroe,6468,203-452-5823,01-07-1984,782,CT
Plainfield School District,Moosup Elementary School,Public Schools,1090111,35 Church St.,Moosup,6354,860-564-6430,01-07-1984,783,CT
Madison School District,Kathleen H. Ryerson Elementary School,Public Schools,760311,982 Durham Rd.,Madison,6443,203-245-6440,01-07-1984,784,CT
Elm City College Preparatory School District,Elm City College Preparatory School,Public Charter Schools,2890113,407 James Street,New Haven,6513,203-772-7010,01-07-2009,785,CT
Unified School District #2,Albert J. Solnit Children's Center - North Campus,State Agency Facilities,3470115,36 Gardner St.,East Windsor,6088,860-292-4048,01-07-2000,786,CT
New London School District,Science and Technology Magnet Pathway for High School Grades,Public Schools,951311,20 Chester Street,New London,6320,860-447-6400,01-09-2016,787,CT
New Fairfield School District,New Fairfield Middle School,Public Schools,915211,56 Gillotti Rd.,New Fairfield,6812,203-312-5885,01-07-1989,788,CT
West Hartford School District,Norfeldt School,Public Schools,1551011,35 Barksdale Rd.,West Hartford,6117,860-233-4421,01-07-1984,789,CT
Stamford School District,Springdale School,Public Schools,1351111,1127 Hope St.,Stamford,6907,203-977-4575,01-07-1984,790,CT
Plainville School District,Plainville School District,Public School Districts,1100011,1 Central Square,Plainville,6062,860-793-3200,01-07-1996,791,CT
Old Saybrook School District,Old Saybrook Senior High School,Public Schools,1066111,1111 Boston Post Rd.,Old Saybrook,6475,860-395-3175,01-07-1984,792,CT
New Haven School District,Augusta Lewis Troup School,Public Schools,931511,259 Edgewood Ave.,New Haven,6511,475-220-3000,01-07-2005,793,CT
Waterford School District,Waterford High School,Public Schools,1526111,20 Rope Ferry Rd.,Waterford,6385,860-437-6956,01-07-1984,794,CT
Hartford School District,Burr Middle School,Public Schools,642311,400 Wethersfield Avenue,Hartford,6114,860-695-3080,01-07-1984,795,CT
Enfield School District,Prudence Crandall School,Public Schools,491511,150 Brainard Rd.,Enfield,6082,860-253-6464,01-07-1984,796,CT
Eastern Connecticut Regional Educational Service Center (EASTCONN),Eastern Connecticut Regional Educational Service Center (EASTCONN),Regional Education Service Center School Districts,2530014,376 Hartford Turnpike,Hampton,6247,860-455-0707,01-07-2000,797,CT
Norwalk School District,Brien McMahon High School,Public Schools,1036211,300 Highland Avenue,Norwalk,6854,203-852-9488,01-07-1984,798,CT
East Hampton School District,East Hampton High School,Public Schools,426111,15 North Maple St.,East Hampton,6424,860-365-4030,01-07-1984,799,CT
Monroe School District,Stepney Elementary School,Public Schools,850311,180 Old Newtown Rd.,Monroe,6468,203-452-2885,01-07-1984,800,CT
Canterbury School District,Canterbury School District,Public School Districts,220011,45 Westminster Road,Canterbury,6331,860-546-6950,01-07-1996,801,CT
Sterling School District,Sterling Community School,Public Schools,1360311,251 Sterling Rd.,Sterling,6377,860-564-2728,03-09-2007,802,CT
Regional School District 15,Memorial Middle School,Regional Schools,2155212,1 Memorial Dr,Middlebury,6762,203-758-2496,01-07-2002,803,CT
Simsbury School District,Simsbury School District,Public School Districts,1280011,933 Hopmeadow Street,Simsbury,6070,860-651-3361,01-07-1996,804,CT
North Haven School District,Montowese Elementary School,Public Schools,1010211,145 Fitch St.,North Haven,6473,203-239-2564,01-07-1984,805,CT
New Britain School District,Smith Elementary School,Public Schools,891311,142 Rutherford St.,New Britain,6051,860-223-1574,01-07-1984,806,CT
West Hartford School District,Braeburn School,Public Schools,1550211,45 Braeburn Rd.,West Hartford,6107,860-561-2200,01-07-1984,807,CT
Hamden School District,Church Street School,Public Schools,620211,95 Church St.,Hamden,6514,203-407-2020,01-07-1984,808,CT
Cheshire School District,Chapman School,Public Schools,250111,38 Country Club Rd.,Cheshire,6410,203-272-3591,01-07-1984,809,CT
Common Ground High School District,Common Ground High School District,Public Charter School Districts,2680013,358 Springside Ave.,New Haven,6515,203-389-0823,01-07-1999,810,CT
Wolcott School District,Wolcott School District,Public School Districts,1660011,1488 Woodtick Road,Wolcott,6716,203-879-8183,01-07-1996,811,CT
Hartford School District,Hartford School District,Public School Districts,640011,280 Trumbull Street,Hartford,6103,860-695-8000,01-07-1996,812,CT
Simsbury School District,Squadron Line School,Public Schools,1280711,44 Squadron Line Rd.,Simsbury,6070,860-658-2251,01-07-1984,813,CT
New Haven School District,Lincoln-Bassett School,Public Schools,932011,130 Bassett St.,New Haven,6511,475-220-8500,01-07-1984,814,CT
Weston School District,Weston Middle School,Public Schools,1575111,135 School Rd.,Weston,6883,203-221-6360,01-07-1984,815,CT
Meriden School District,Francis T. Maloney High School,Public Schools,806111,121 Gravel St.,Meriden,6450,203-238-2334,01-07-1984,816,CT
Unified School District #1,Bridgeport Correctional Center,State Agency Facilities,3360115,1106 North Ave.,Bridgeport,6604,475-225-9000,01-07-2000,817,CT
Stratford School District,Second Hill Lane School,Public Schools,1381011,65 Second Hill Lane,Stratford,6614,203-385-4292,01-07-1984,818,CT
Suffield School District,Suffield High School,Public Schools,1396111,1060 Sheldon Street,West Suffield,6093,860-668-3810,01-07-1984,819,CT
Eastford School District,Eastford School District,Public School Districts,390011,"12 Westford Road, Box 158",Eastford,6242,860-974-1130,01-07-1996,820,CT
Cornwall School District,Cornwall School District,Public School Districts,310011,5 Cream Hill Road,Cornwall,6796,860-672-6617,01-07-1996,821,CT
Regional School District 08,RHAM High School,Regional Schools,2086112,85 Wall St.,Hebron,6248,860-228-9474,01-07-2002,822,CT
South Windsor School District,Philip R. Smith School,Public Schools,1320111,949 Avery Street,South Windsor,6074,860-648-5025,01-07-1984,823,CT
Branford School District,Francis Walsh Intermediate School,Public Schools,145111,185 Damascus Rd.,Branford,6405,203-488-8317,01-07-1984,824,CT
New Canaan School District,East School,Public Schools,900411,54 Little Brook Rd.,New Canaan,6840,203-594-4219,01-07-1984,825,CT
Ridgefield School District,Farmingville Elementary School,Public Schools,1180411,324 Farmingville Rd.,Ridgefield,6877,203-894-5570,01-07-1984,826,CT
New Haven School District,King/Robinson Magnet School,Public Schools,933011,150 Fournier St.,New Haven,6511,475-220-2700,01-07-2004,827,CT
Windham School District,W. B. Sweeney School,Public Schools,1630611,60 Oak Hill Dr.,Willimantic,6226,860-465-2420,01-07-1984,828,CT
Newington School District,Martin Kellogg Middle School,Public Schools,945111,155 Harding Ave.,Newington,6111,860-666-5418,01-07-1984,829,CT
Torrington School District,Torrington Middle School,Public Schools,1435111,200 Middle School Rd.,Torrington,6790,860-496-4050,01-07-1997,830,CT
Plymouth School District,Terryville High School,Public Schools,1116111,33 North Harwinton Avenue,Terryville,6786,860-314-2777,01-07-1984,831,CT
Bridgeport School District,Cesar Batalla School,Public Schools,151411,606 Howard Ave.,Bridgeport,6605,203-579-8501,01-07-1984,832,CT
Norwalk School District,Marvin Elementary School,Public Schools,1032211,15 Calf Pasture Beach Road,Norwalk,6855,203-899-2890,01-07-1984,833,CT
Woodbridge School District,Beecher Road School,Public Schools,1670311,40 Beecher Rd.,Woodbridge,6525,203-389-2195,01-07-2012,834,CT
Glastonbury School District,Nayaug Elementary School,Public Schools,540911,222 Old Maids Ln.,South Glastonbury,6073,860-652-4949,28-08-2007,835,CT
Berlin School District,Richard D. Hubbard School,Public Schools,70111,139 Grove St.,East Berlin,6023,860-828-4119,01-07-1984,836,CT
Regional School District 14,Regional School District 14,Regional School Districts,2140012,"5 Minortown Road, PO Box 469",Woodbury,6798,203-263-4339,01-07-2002,837,CT
Vernon School District,Northeast School,Public Schools,1460311,69 East St.,Rockville,6066,860-870-6080,01-07-1984,838,CT
Putnam School District,Putnam High School,Public Schools,1166111,152 Woodstock Ave.,Putnam,6260,860-963-6905,01-07-1984,839,CT
Farmington School District,West District School,Public Schools,520311,114 West District Road,Unionville,6085,860-673-2579,01-07-1984,840,CT
New Beginnings Inc Family Academy District,New Beginnings Inc Family Academy,Public Charter Schools,2800113,184 Garden St.,Bridgeport,6605,203-384-2897,01-07-2002,841,CT
Connecticut Technical Education and Career System,E. C. Goodwin Technical High School,CT Technical Education and Career Schools,9001916,735 Slater Rd.,New Britain,6053,860-827-7736,01-07-2000,842,CT
