Town,List Year,Avg Assessed Value,Avg Sale Amount,Avg Sales Ratio,Avg Total Crimes,"Avg Crimes per 100,000",Avg Number of Schools,Avg Number of Healthcare facilities,Avg Houses Sold (Condo),Avg Condo Assessed Value,Avg Condo Sale Amount,Avg Condo Sale Ratio,Avg Houses Sold (Single),Avg Single Family Assessed Value,Avg Single Family Sale Amount,Avg Single Family Sale Ratio,geometry
East Haddam,2016,169974.47,222718.42,0.96,127.37,132.06,0.0,0.0,0.0,0.0,0.0,0.0,38.0,169974.47,222718.42,0.96,POINT(-72.4613902 41.4529215)
Hebron,2010,187858.67,236397.47,0.82,168.0,168.81,2.0,0.0,1.0,177120.0,160000.0,1.11,14.0,188625.71,241854.43,0.8,POINT(-72.3659161 41.6578767)
Lisbon,2013,142862.73,185636.27,1.0,461.18,976.73,1.0,0.0,0.0,0.0,0.0,0.0,11.0,142862.73,185636.27,1.0,POINT(-72.0207809 41.5866851)
Danbury,2014,164272.38,265396.67,0.76,4560.2,525.52,16.0,8.0,70.0,133528.57,268449.21,0.66,111.0,183660.36,263471.64,0.82,POINT(-73.4540111 41.394817)
Redding,2010,634248.75,667369.38,2.65,188.44,197.02,2.0,2.0,0.0,0.0,0.0,0.0,16.0,634248.75,667369.38,2.65,POINT(-73.3834532 41.3025956)
Ansonia,2010,158342.86,182547.62,1.2,1153.71,538.07,4.0,0.0,0.0,0.0,0.0,0.0,21.0,158342.86,182547.62,1.2,POINT(-73.043713 41.3423505)
Cornwall,2009,556675.0,555000.0,1.0,66.0,398.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,556675.0,555000.0,1.0,POINT(-73.3292848 41.8437058)
Brookfield,2017,260184.78,375504.35,0.69,375.0,206.75,4.0,1.0,8.0,189926.25,277662.5,0.65,15.0,297656.0,427686.67,0.71,POINT(-73.4095652 41.4825947)
Stafford,2013,125944.17,160978.75,0.88,213.13,162.44,0.0,0.0,3.0,77583.33,111333.33,0.71,21.0,132852.86,168070.95,0.91,POINT(-72.2895812 41.9851964)
Eastford,2012,174406.67,266916.67,0.69,48.0,255.47,0.0,0.0,0.0,0.0,0.0,0.0,3.0,174406.67,266916.67,0.69,POINT(-72.0799095 41.902068)
Glastonbury,2011,319635.66,360585.67,0.95,1097.84,297.14,6.0,3.0,26.0,275930.77,214348.15,1.23,103.0,330667.96,397500.0,0.88,POINT(-72.608146 41.7123218)
North Haven,2015,204753.86,269542.36,0.79,1856.57,696.69,6.0,2.0,10.0,180973.0,235835.3,0.79,60.0,208717.33,275160.2,0.79,POINT(-72.859545 41.3909305)
Shelton,2010,263253.3,337093.04,0.98,1633.87,370.92,7.0,8.0,21.0,245942.9,339925.71,0.74,58.0,269520.86,336067.41,1.07,POINT(-73.150955 41.370196)
Franklin,2016,148970.0,269900.0,0.55,51.0,239.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,148970.0,269900.0,0.55,POINT(-72.1459112 41.6089873)
Washington,2017,288207.14,382281.29,0.88,48.0,115.31,0.0,0.0,0.0,0.0,0.0,0.0,7.0,288207.14,382281.29,0.88,POINT(-73.3106731 41.6314845)
Old Saybrook,2011,341214.04,367835.09,0.98,528.84,440.05,3.0,3.0,2.0,311500.0,447500.0,0.72,55.0,342294.55,364938.18,0.99,POINT(-72.3761956 41.2917652)
Windham,2012,98639.58,103853.66,1.12,333.28,450.32,0.0,1.0,0.0,0.0,0.0,0.0,53.0,98639.58,103853.66,1.12,POINT(-72.0051201 41.8208345)
Derby,2009,169193.68,211836.84,0.82,1230.0,859.86,3.0,3.0,5.0,144788.0,176180.0,0.84,14.0,177910.0,224571.43,0.81,POINT(-73.0890324 41.3223611)
Bridgeport,2017,98154.21,147357.88,0.74,14207.0,879.35,29.0,8.0,17.0,52005.88,81460.76,0.66,40.0,117767.25,175364.15,0.78,POINT(-73.1887863 41.1792695)
Bridgeport,2009,128368.81,117631.91,2.09,18305.0,1136.4,29.0,8.0,31.0,90786.45,98150.45,1.11,103.0,139680.0,123495.26,2.38,POINT(-73.1887863 41.1792695)
Washington,2010,812872.31,1040846.15,0.92,97.38,234.38,0.0,0.0,1.0,266990.0,225000.0,1.19,12.0,858362.5,1108833.33,0.9,POINT(-73.3106731 41.6314845)
Woodbury,2016,196695.56,240106.58,1.06,108.73,102.13,0.0,0.0,14.0,113997.86,127502.43,0.98,31.0,234042.9,290960.06,1.09,POINT(-73.2090025 41.5445404)
Pomfret,2013,297082.5,355125.0,0.92,89.25,202.48,0.0,0.0,0.0,0.0,0.0,0.0,4.0,297082.5,355125.0,0.92,POINT(-71.9625736 41.8975977)
Lyme,2011,396814.29,333714.29,1.46,54.43,232.91,0.0,0.0,0.0,0.0,0.0,0.0,7.0,396814.29,333714.29,1.46,POINT(-72.35110142568081 41.3910952)
Chester,2010,186043.64,227890.91,0.86,97.18,224.79,1.0,1.0,1.0,34560.0,33000.0,1.05,10.0,201192.0,247380.0,0.84,POINT(-72.4509204 41.4031547)
Westbrook,2013,229145.24,294999.12,0.88,150.76,206.53,3.0,1.0,1.0,50510.0,59500.0,0.85,24.0,236588.38,304811.58,0.88,POINT(-72.4475874 41.285377)
Madison,2010,575812.61,708713.96,0.87,462.75,224.21,5.0,0.0,6.0,543451.0,822333.33,0.78,50.0,579696.0,695079.64,0.88,POINT(-72.5983151 41.2794282)
Coventry,2010,170936.07,241339.17,0.83,579.0,435.53,4.0,0.0,3.0,117527.33,166300.0,0.71,27.0,176870.37,249676.85,0.84,POINT(-72.3050803 41.7700987)
Granby,2009,214133.45,263358.1,0.86,341.0,285.49,4.0,1.0,7.0,164030.0,189142.86,0.86,22.0,230075.45,286972.05,0.86,POINT(-72.7894272 41.9539032)
Wilton,2016,548694.18,728322.37,0.8,393.99,193.0,4.0,5.0,6.0,295901.67,483500.0,0.66,61.0,573559.02,752403.26,0.81,POINT(-73.4378988 41.1953739)
Avon,2016,308824.4,411855.93,0.76,476.31,259.93,5.0,4.0,36.0,186185.28,248763.89,0.76,55.0,389097.27,518607.09,0.77,POINT(-72.8306541 41.8098209)
Cromwell,2009,181351.21,228570.83,0.82,1114.0,749.78,4.0,4.0,13.0,139870.77,159288.15,0.85,16.0,215054.06,284863.0,0.79,POINT(-72.6455665 41.5949942)
Harwinton,2011,237558.0,343200.0,0.72,132.0,215.79,0.0,0.0,0.0,0.0,0.0,0.0,9.0,237558.0,343200.0,0.72,POINT(-73.05983 41.7712085)
Salem,2009,218735.0,260421.88,0.86,129.0,289.64,1.0,0.0,0.0,0.0,0.0,0.0,8.0,218735.0,260421.88,0.86,POINT(-72.2762084 41.491269)
Sprague,2014,124687.5,141078.0,0.98,76.5,221.93,0.0,0.0,0.0,0.0,0.0,0.0,4.0,124687.5,141078.0,0.98,POINT(-72.0663666 41.6214071)
Newtown,2011,342961.15,371964.27,1.04,598.74,206.41,5.0,1.0,2.0,211880.0,241000.0,0.88,76.0,346410.66,375410.7,1.04,POINT(-73.3086445 41.4134764)
Sharon,2017,329166.67,360666.67,1.52,51.0,148.31,1.0,2.0,0.0,0.0,0.0,0.0,3.0,329166.67,360666.67,1.52,POINT(-73.4767897 41.8792599)
Ansonia,2016,126463.64,167021.06,1.0,1118.64,520.92,4.0,0.0,3.0,109266.67,155000.0,0.72,30.0,128183.33,168223.17,1.03,POINT(-73.043713 41.3423505)
Middletown,2014,134924.21,179086.19,0.85,2460.2,491.65,9.0,9.0,30.0,90413.33,119878.67,0.83,115.0,146535.74,194531.63,0.86,POINT(-72.6509061 41.5623178)
Ashford,2015,123354.55,136805.14,1.16,56.59,119.4,1.0,0.0,0.0,0.0,0.0,0.0,22.0,123354.55,136805.14,1.16,POINT(-72.1214653 41.8731532)
Bethany,2015,219988.57,323471.43,0.75,108.43,186.03,1.0,0.0,0.0,0.0,0.0,0.0,21.0,219988.57,323471.43,0.75,POINT(-72.9970496 41.4217637)
Cornwall,2012,300040.0,291800.0,1.83,32.4,194.39,0.0,0.0,0.0,0.0,0.0,0.0,5.0,300040.0,291800.0,1.83,POINT(-73.3292848 41.8437058)
Litchfield,2015,280572.5,377339.65,0.84,181.2,188.31,0.0,0.0,3.0,253063.33,300800.0,0.84,37.0,282802.97,383545.57,0.85,POINT(-73.2543049 41.767249)
Sterling,2016,128137.27,203672.73,0.66,64.36,179.35,1.0,0.0,2.0,82870.0,115500.0,0.9,9.0,138196.67,223266.67,0.61,POINT(-71.828682 41.707599)
Madison,2016,308695.18,448190.03,0.77,256.0,123.86,5.0,0.0,11.0,274518.18,251264.45,1.0,49.0,316367.57,492397.82,0.72,POINT(-72.5983151 41.2794282)
Ridgefield,2016,569109.11,750723.2,3.84,309.49,113.08,7.0,2.0,19.0,798983.16,957495.16,1.17,60.0,496315.67,685245.42,4.68,POINT(-73.49345520437956 41.267211)
Shelton,2015,182238.43,275766.14,0.76,1387.22,314.66,7.0,8.0,29.0,160377.24,280834.83,0.63,98.0,188707.55,274266.22,0.8,POINT(-73.150955 41.370196)
Stafford,2010,140481.92,178596.15,0.82,276.46,211.49,0.0,0.0,0.0,0.0,0.0,0.0,26.0,140481.92,178596.15,0.82,POINT(-72.2895812 41.9851964)
Windsor Locks,2009,123259.26,187299.44,0.75,859.0,617.82,4.0,1.0,7.0,90971.43,173071.43,0.63,20.0,134560.0,192279.25,0.79,POINT(-72.643631 41.9281305)
Bridgewater,2014,431826.67,556222.22,2.76,17.0,80.34,0.0,0.0,0.0,0.0,0.0,0.0,9.0,431826.67,556222.22,2.76,POINT(-73.3662305 41.5350949)
Enfield,2009,138449.59,178213.92,0.89,2868.0,549.47,8.0,2.0,10.0,152579.0,191411.3,1.0,64.0,136241.88,176151.83,0.87,POINT(-72.5755109 41.9789387)
Willington,2012,159188.57,171803.57,1.27,108.0,156.13,0.0,0.0,1.0,60230.0,20000.0,3.01,6.0,175681.67,197104.17,0.99,POINT(-72.2598935 41.874428)
South Windsor,2011,190393.52,243829.11,0.85,1186.67,419.48,6.0,4.0,25.0,139653.6,168308.0,0.88,63.0,210528.41,273797.81,0.83,POINT(-72.5717551 41.8489872)
Plainville,2015,117172.71,159595.17,0.86,1553.37,774.72,4.0,2.0,18.0,82697.22,146043.44,0.73,52.0,129106.54,164286.15,0.9,POINT(-72.8672429 41.6711395)
Oxford,2011,243179.17,324560.83,0.78,231.25,203.16,3.0,0.0,3.0,274366.67,409208.33,0.67,21.0,238723.81,312468.33,0.8,POINT(-73.1172769 41.4351795)
Harwinton,2015,199244.76,285360.1,0.75,88.71,145.18,0.0,0.0,1.0,203270.0,333192.0,0.61,20.0,199043.5,282968.5,0.75,POINT(-73.05983 41.7712085)
Colchester,2013,156006.67,220038.96,0.76,217.91,129.06,4.0,1.0,12.0,125450.0,175696.08,0.76,33.0,167118.18,236163.64,0.76,POINT(-72.3320269 41.5756543)
Greenwich,2016,1692797.6,2008295.17,1.78,1459.49,206.36,9.0,6.0,27.0,2797404.81,1126082.59,6.94,140.0,1479766.21,2178436.17,0.79,POINT(-73.6284598 41.0264862)
Bethlehem,2016,178609.09,227454.55,0.86,34.64,87.47,0.0,0.0,0.0,0.0,0.0,0.0,11.0,178609.09,227454.55,0.86,POINT(-73.2080798 41.6393626)
Seymour,2012,160304.36,234074.49,0.93,658.77,367.27,4.0,1.0,9.0,121076.67,165193.89,0.76,30.0,172072.67,254738.67,0.98,POINT(-73.0741697 41.3943578)
Wolcott,2010,204587.63,238087.42,0.94,892.21,507.29,5.0,1.0,2.0,95900.0,140000.0,1.04,36.0,210625.83,243536.72,0.93,POINT(-72.9867718 41.6023196)
New Hartford,2015,204554.74,270668.42,0.79,86.84,123.28,3.0,0.0,3.0,131553.33,168166.67,0.9,16.0,218242.5,289887.5,0.77,POINT(-72.9770488 41.8823187)
Groton,2014,208238.66,251781.43,0.97,2196.49,474.75,4.0,4.0,22.0,106720.23,147863.73,0.82,79.0,236509.62,280720.53,1.01,POINT(-72.0761998 41.3501598)
Southbury,2013,158731.26,226461.78,0.86,532.09,246.96,0.0,6.0,50.0,86928.2,142878.0,0.67,45.0,238512.44,319332.64,1.07,POINT(-73.2131693 41.4814848)
East Haven,2017,127003.11,160325.0,0.86,1944.0,595.63,7.0,3.0,6.0,103440.0,120561.33,0.99,29.0,131878.24,168551.97,0.83,POINT(-72.8684337 41.2762081)
Burlington,2011,237141.43,333065.18,0.71,175.71,185.13,0.0,0.0,1.0,225400.0,252000.0,0.89,27.0,237576.3,336067.59,0.71,POINT(-72.9645484 41.7692648)
New Haven,2014,146198.52,193419.63,0.94,19557.03,1364.59,35.0,14.0,20.0,121093.5,162322.5,1.02,68.0,153582.35,202565.84,0.92,POINT(-72.9250518 41.3082138)
Darien,2015,929317.16,1530038.27,0.74,725.4,319.81,7.0,3.0,13.0,456270.77,1364974.46,0.42,68.0,1019752.5,1561594.59,0.8,POINT(-73.4692873 41.0787079)
Plainfield,2010,127593.03,145290.88,0.96,177.09,104.82,3.0,1.0,0.0,0.0,0.0,0.0,33.0,127593.03,145290.88,0.96,POINT(-71.915073 41.6764876)
Plainfield,2009,135754.84,152954.03,1.09,186.0,110.22,3.0,1.0,2.0,104615.0,107450.0,1.19,29.0,137902.41,156092.24,1.08,POINT(-71.915073 41.6764876)
Hampton,2015,161098.0,248459.8,0.68,28.8,141.55,1.0,0.0,0.0,0.0,0.0,0.0,5.0,161098.0,248459.8,0.68,POINT(-72.0547977 41.7839873)
Branford,2015,210443.55,272070.47,1.12,1783.45,537.37,5.0,4.0,37.0,114183.78,143010.81,0.84,87.0,251381.61,326957.91,1.24,POINT(-72.8150989 41.2795414)
Windsor,2016,143045.1,209139.84,0.72,2266.96,693.55,5.0,2.0,24.0,137360.42,199523.83,0.67,80.0,144750.5,212024.64,0.73,POINT(-72.6437022 41.8525984)
Ellington,2016,199958.13,257898.52,1.01,228.38,152.68,5.0,0.0,8.0,124185.0,176425.0,0.73,40.0,215112.75,274193.23,1.07,POINT(-72.4698071 41.9039863)
North Branford,2014,181364.29,240741.04,0.81,562.75,349.04,3.0,2.0,7.0,140028.57,182985.57,0.81,21.0,195142.86,259992.86,0.81,POINT(-72.7673198 41.3275971)
Norwich,2009,135178.9,143539.05,1.18,3364.0,806.79,8.0,5.0,13.0,113000.0,133926.0,0.94,46.0,141446.85,146255.78,1.25,POINT(-72.0759008 41.5243537)
Sprague,2009,116330.0,181734.3,1.26,99.0,288.55,0.0,0.0,0.0,0.0,0.0,0.0,10.0,116330.0,181734.3,1.26,POINT(-72.0663666 41.6214071)
Pomfret,2011,245164.0,252404.2,1.14,69.0,156.67,0.0,0.0,0.0,0.0,0.0,0.0,10.0,245164.0,252404.2,1.14,POINT(-71.9625736 41.8975977)
Essex,2016,319178.13,496509.38,0.68,62.25,82.65,0.0,0.0,3.0,151933.33,232833.33,0.67,29.0,336479.31,523786.21,0.68,POINT(-72.3972094 41.3321522)
East Hampton,2012,166253.64,214957.39,0.89,437.45,282.23,4.0,0.0,5.0,95400.0,104600.0,0.94,28.0,178906.07,234664.07,0.88,POINT(-72.49192364130434 41.5744405)
Plymouth,2015,115260.0,119363.23,1.31,458.62,340.63,1.0,1.0,3.0,79176.67,71058.33,2.17,44.0,117720.23,122656.75,1.25,POINT(-73.0528893 41.6720318)
Thompson,2011,138170.0,165360.0,0.96,233.1,226.47,0.0,0.0,0.0,0.0,0.0,0.0,21.0,138170.0,165360.0,0.96,POINT(-71.8625715 41.9587089)
Coventry,2011,153671.79,181851.44,1.08,557.33,418.2,4.0,0.0,1.0,105400.0,126000.0,0.84,38.0,154942.11,183321.21,1.08,POINT(-72.3050803 41.7700987)
Waterbury,2011,109118.06,87405.64,1.88,15085.83,1213.1,25.0,9.0,46.0,71069.57,52339.72,1.73,171.0,119353.33,96838.57,1.92,POINT(-73.0438362 41.5538091)
Bethany,2017,312717.5,249000.0,1.53,90.0,154.25,1.0,0.0,0.0,0.0,0.0,0.0,4.0,312717.5,249000.0,1.53,POINT(-72.9970496 41.4217637)
Ledyard,2012,158289.25,198622.73,1.1,442.0,259.32,2.0,0.0,1.0,64260.0,48000.0,1.34,39.0,160700.26,202484.85,1.1,POINT(-72.0175193 41.4386053)
Middlefield,2010,213673.25,333064.75,0.7,115.5,237.74,0.0,0.0,2.0,190343.0,432409.0,0.44,6.0,221450.0,299950.0,0.78,POINT(-72.7120793 41.5165161)
West Hartford,2013,207865.91,321106.34,0.68,4323.48,585.92,15.0,8.0,22.0,149115.91,218710.64,0.72,171.0,215424.39,334280.06,0.68,POINT(-72.7420399 41.7620447)
Trumbull,2014,263014.83,384560.55,0.82,2449.17,617.03,9.0,9.0,11.0,248836.36,383681.82,0.66,102.0,264543.88,384655.31,0.83,POINT(-73.2006687 41.2428742)
Bethany,2009,233206.92,324392.31,0.7,127.0,218.29,1.0,0.0,0.0,0.0,0.0,0.0,13.0,233206.92,324392.31,0.7,POINT(-72.9970496 41.4217637)
Beacon Falls,2017,131430.0,265500.0,0.51,159.0,261.76,0.0,0.0,0.0,0.0,0.0,0.0,2.0,131430.0,265500.0,0.51,POINT(-73.062608 41.4428745)
Monroe,2017,203415.0,289776.25,0.91,483.0,216.75,5.0,0.0,1.0,152300.0,240000.0,0.63,19.0,206105.26,292396.05,0.92,POINT(-73.2073358 41.3325962)
Scotland,2009,138910.0,180000.0,0.77,39.0,217.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,138910.0,180000.0,0.77,POINT(-72.082083 41.6981999)
Branford,2012,208124.35,270110.97,0.99,1987.81,597.06,5.0,4.0,44.0,148979.55,189917.05,0.93,71.0,244777.46,319808.61,1.03,POINT(-72.8150989 41.2795414)
Thomaston,2010,159599.29,175385.71,0.99,405.86,467.89,3.0,0.0,2.0,88395.0,100500.0,0.88,12.0,171466.67,187866.67,1.0,POINT(-73.073164 41.6739862)
Preston,2010,213360.0,237120.0,0.99,131.5,242.72,1.0,0.0,0.0,0.0,0.0,0.0,10.0,213360.0,237120.0,0.99,POINT(-71.982138 41.5268022)
Andover,2014,172928.18,215072.73,1.25,33.82,96.05,1.0,0.0,0.0,0.0,0.0,0.0,11.0,172928.18,215072.73,1.25,POINT(-72.37036 41.7373212)
Rocky Hill,2017,130987.5,167718.81,1.25,888.0,426.85,4.0,5.0,11.0,106425.45,136818.27,1.44,5.0,185024.0,235700.0,0.82,POINT(-72.6392587 41.6648216)
Brookfield,2012,242658.64,355207.24,0.72,531.71,292.44,4.0,1.0,21.0,138962.38,230851.0,0.68,38.0,299964.47,423930.42,0.74,POINT(-73.4095652 41.4825947)
Hamden,2009,167847.87,222920.37,0.92,2685.0,408.66,9.0,11.0,29.0,125558.97,187336.21,0.68,98.0,180361.94,233450.38,0.99,POINT(-72.8968574 41.3959302)
Voluntown,2013,126114.44,143211.11,0.92,46.56,158.69,1.0,0.0,0.0,0.0,0.0,0.0,9.0,126114.44,143211.11,0.92,POINT(-71.8703497 41.5706544)
Salisbury,2009,596035.0,833750.0,0.8,135.0,293.97,0.0,1.0,0.0,0.0,0.0,0.0,4.0,596035.0,833750.0,0.8,POINT(-73.4212318 41.983426)
Manchester,2013,129329.27,172757.01,0.87,5024.46,791.01,7.0,3.0,22.0,81213.64,101413.68,0.99,101.0,139809.9,188297.14,0.85,POINT(-72.5304550138903 41.7813345)
Plymouth,2013,118631.54,133737.9,1.0,594.08,439.96,1.0,1.0,1.0,79250.0,68100.0,1.16,38.0,119667.89,135465.21,1.0,POINT(-73.0528893 41.6720318)
Ashford,2009,153672.31,164545.0,1.08,102.0,215.65,1.0,0.0,1.0,53800.0,66000.0,0.82,12.0,161995.0,172757.08,1.1,POINT(-72.1214653 41.8731532)
North Haven,2010,204467.62,256591.67,1.1,1931.36,725.24,6.0,2.0,3.0,145943.33,219833.33,0.67,39.0,208969.49,259419.23,1.13,POINT(-72.859545 41.3909305)
Bethlehem,2015,186570.0,210204.55,1.2,43.36,109.56,0.0,0.0,1.0,227300.0,335000.0,0.68,10.0,182497.0,197725.0,1.26,POINT(-73.2080798 41.6393626)
Montville,2009,148585.53,171723.32,0.95,388.0,181.22,0.0,0.0,1.0,91310.0,100000.0,0.91,37.0,150133.51,173661.78,0.96,POINT(-72.1538184 41.4649811)
Barkhamsted,2011,205283.0,262838.0,0.88,56.1,138.54,1.0,0.0,0.0,0.0,0.0,0.0,10.0,205283.0,262838.0,0.88,POINT(-72.9139904 41.9292629)
Preston,2015,147415.22,178543.57,1.02,82.7,152.46,1.0,0.0,1.0,93000.0,45502.0,2.04,22.0,149888.64,184590.91,0.97,POINT(-71.982138 41.5268022)
Roxbury,2015,653901.25,1040050.63,0.79,36.38,147.25,0.0,0.0,0.0,0.0,0.0,0.0,8.0,653901.25,1040050.63,0.79,POINT(-73.3088922 41.5568282)
Griswold,2013,108591.25,122959.38,1.36,388.94,310.09,3.0,0.0,8.0,62341.25,36356.25,2.42,24.0,124007.92,151827.08,1.01,POINT(-71.9622443 41.6035026)
Fairfield,2016,446560.77,660546.08,0.73,41817.85,464.15,15.0,5.0,27.0,314660.74,450935.19,0.71,128.0,474383.44,704760.88,0.73,POINT(-73.2637258 41.1412078)
Washington,2016,820851.18,1292689.53,0.71,52.94,127.23,0.0,0.0,1.0,186130.0,275000.0,0.68,16.0,860521.25,1356295.13,0.71,POINT(-73.3106731 41.6314845)
Woodstock,2017,160388.33,244775.67,0.72,76.0,90.91,2.0,0.0,0.0,0.0,0.0,0.0,6.0,160388.33,244775.67,0.72,POINT(-71.9739626 41.9484307)
Killingworth,2009,229102.73,262363.55,0.98,93.0,133.87,0.0,0.0,0.0,0.0,0.0,0.0,11.0,229102.73,262363.55,0.98,POINT(-72.5637023 41.3581545)
Hebron,2014,186166.33,253277.5,0.76,79.6,79.77,2.0,0.0,1.0,134750.0,193000.0,0.7,29.0,187939.31,255356.03,0.77,POINT(-72.3659161 41.6578767)
Colebrook,2009,102200.0,147500.0,0.73,39.0,229.46,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102200.0,147500.0,0.73,POINT(-73.0956646 41.9895388)
Ledyard,2011,188066.45,223666.13,0.98,389.55,228.79,2.0,0.0,3.0,87010.0,111333.33,0.78,28.0,198893.93,235701.79,1.0,POINT(-72.0175193 41.4386053)
Canaan,2011,180366.67,215000.0,0.87,25.0,199.81,0.0,2.0,0.0,0.0,0.0,0.0,3.0,180366.67,215000.0,0.87,POINT(-73.3083333 41.9616667)
Winchester,2016,133252.06,194953.41,0.88,431.47,349.49,0.0,0.0,3.0,77773.33,73033.33,1.09,31.0,138620.97,206752.13,0.86,POINT(-73.10450029832403 41.918742)
Cheshire,2016,213152.33,340931.52,0.7,581.72,176.07,7.0,3.0,21.0,131080.48,227027.86,0.67,65.0,239667.85,377731.17,0.71,POINT(-72.900658 41.4989861)
Wolcott,2014,173510.59,208100.86,0.93,849.61,481.61,5.0,1.0,5.0,145444.0,183020.0,0.8,46.0,176561.3,210827.04,0.94,POINT(-72.9867718 41.6023196)
Middlefield,2013,147726.25,228734.69,0.77,82.31,168.76,0.0,0.0,4.0,76280.0,308638.75,0.36,12.0,171541.67,202100.0,0.91,POINT(-72.7120793 41.5165161)
Sherman,2011,359800.0,409178.57,1.2,57.0,128.47,1.0,0.0,0.0,0.0,0.0,0.0,14.0,359800.0,409178.57,1.2,POINT(-73.4956795 41.5792607)
Hartford,2014,41532.79,116083.64,0.67,20547.75,1457.91,32.0,13.0,16.0,26171.94,76181.25,0.37,61.0,45561.87,126549.84,0.74,POINT(-72.6908547 41.764582)
North Stonington,2014,197575.71,207375.0,2.21,97.71,168.84,2.0,0.0,0.0,0.0,0.0,0.0,14.0,197575.71,207375.0,2.21,POINT(-71.8807456 41.5172857)
Cheshire,2011,237886.48,334711.31,0.8,844.3,255.22,7.0,3.0,15.0,162674.0,221948.8,0.77,52.0,259582.38,367238.96,0.81,POINT(-72.900658 41.4989861)
Cornwall,2015,417900.0,387428.57,1.11,24.86,149.52,0.0,0.0,0.0,0.0,0.0,0.0,7.0,417900.0,387428.57,1.11,POINT(-73.3292848 41.8437058)
Old Lyme,2011,288383.43,362640.0,0.89,137.06,159.67,0.0,0.0,4.0,159225.0,206375.0,0.75,31.0,305049.03,382803.23,0.9,POINT(-72.3289715 41.3159315)
Lebanon,2011,178402.27,205836.36,1.0,132.18,165.08,3.0,0.0,0.0,0.0,0.0,0.0,22.0,178402.27,205836.36,1.0,POINT(-72.2125789 41.6362097)
Suffield,2011,199942.73,286375.09,0.89,427.0,271.8,3.0,2.0,7.0,136390.0,221814.29,0.75,37.0,211966.22,298589.3,0.91,POINT(-72.6506604 41.9816944)
Chaplin,2014,95950.0,100450.0,1.14,50.0,191.93,1.0,0.0,0.0,0.0,0.0,0.0,6.0,95950.0,100450.0,1.14,POINT(-72.1272989 41.7948205)
Hamden,2014,152910.52,177560.39,0.97,4629.88,701.71,9.0,11.0,23.0,126709.13,128154.78,1.05,130.0,157546.15,186301.38,0.95,POINT(-72.8968574 41.3959302)
Deep River,2016,178990.0,188798.44,0.99,18.75,35.12,1.0,0.0,5.0,107982.0,141000.0,0.77,11.0,211266.36,210525.0,1.09,POINT(-72.4356422 41.3856546)
New Haven,2009,145607.8,169999.11,1.42,27851.0,1951.49,35.0,14.0,30.0,114300.67,146508.37,0.88,54.0,163000.65,183049.52,1.72,POINT(-72.9250518 41.3082138)
Canton,2014,247335.74,339589.81,0.79,162.21,158.31,4.0,0.0,14.0,160998.57,219463.5,0.76,33.0,283963.64,390552.48,0.8,POINT(-72.8937122 41.8245424)
Monroe,2015,244980.56,343084.03,0.75,291.33,130.81,5.0,0.0,10.0,172830.0,260955.0,0.67,62.0,256617.74,356330.65,0.76,POINT(-73.2073358 41.3325962)
Chaplin,2009,188100.0,232083.33,0.8,72.0,277.47,1.0,0.0,0.0,0.0,0.0,0.0,3.0,188100.0,232083.33,0.8,POINT(-72.1272989 41.7948205)
Haddam,2012,213730.91,266538.64,0.86,125.18,150.72,0.0,1.0,0.0,0.0,0.0,0.0,22.0,213730.91,266538.64,0.86,POINT(-72.5120333 41.4773213)
Fairfield,2017,577793.0,750578.95,0.86,50349.0,462.63,15.0,5.0,2.0,248640.0,360250.0,0.69,36.0,596079.28,772263.89,0.87,POINT(-73.2637258 41.1412078)
Oxford,2017,223600.0,348446.78,0.67,123.0,108.17,3.0,0.0,2.0,130950.0,386010.5,0.38,7.0,250071.43,337714.29,0.76,POINT(-73.1172769 41.4351795)
Harwinton,2017,130800.0,227000.0,0.58,76.0,124.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,130800.0,227000.0,0.58,POINT(-73.05983 41.7712085)
Wilton,2009,649826.25,783295.83,0.89,300.0,147.38,4.0,5.0,4.0,297762.5,365875.0,0.83,44.0,681832.05,821243.18,0.9,POINT(-73.4378988 41.1953739)
Manchester,2015,129442.78,158986.96,0.94,5011.53,791.35,7.0,3.0,27.0,83703.7,89449.37,1.09,160.0,137161.25,170721.43,0.92,POINT(-72.5304550138903 41.7813345)
Winchester,2013,118392.86,135599.46,1.23,532.5,430.25,0.0,0.0,0.0,0.0,0.0,0.0,28.0,118392.86,135599.46,1.23,POINT(-73.10450029832403 41.918742)
East Lyme,2017,255805.0,358775.0,0.85,435.0,207.35,2.0,0.0,4.0,251107.5,379500.0,0.66,24.0,256587.92,355320.83,0.88,POINT(-72.2258709 41.3569909)
Plainville,2014,119831.49,156243.36,1.02,1532.18,762.76,4.0,2.0,14.0,90814.29,119989.64,1.14,53.0,127496.42,165819.81,0.99,POINT(-72.8672429 41.6711395)
Suffield,2015,202344.38,269611.58,2.03,314.65,200.68,3.0,2.0,15.0,139618.67,176538.33,2.91,33.0,230856.06,311917.61,1.64,POINT(-72.6506604 41.9816944)
Andover,2009,159475.0,177595.0,1.23,106.0,302.47,1.0,0.0,0.0,0.0,0.0,0.0,8.0,159475.0,177595.0,1.23,POINT(-72.37036 41.7373212)
